,sexC,ageC,raceC,MC,priors_count_C,label,predication
2487,0,1,1,0,6,0,1
6709,0,1,0,0,0,1,0
4276,1,1,1,0,2,1,0
6011,0,2,1,0,1,1,0
2512,1,1,0,6,1,0,1
3134,0,1,0,0,0,1,0
5642,1,1,0,0,0,1,0
19,0,1,0,0,1,1,0
770,0,1,3,0,3,0,1
6406,0,1,1,0,0,1,0
5212,0,2,0,0,4,0,1
6305,1,1,1,2,0,0,1
5581,0,1,0,0,2,0,1
2748,0,1,0,0,3,0,1
1094,0,1,1,0,3,0,1
4733,0,1,2,0,1,1,0
6531,0,1,3,0,2,1,0
86,1,0,1,0,0,0,1
2984,0,1,0,0,1,1,0
2204,0,1,2,1,1,1,0
2772,0,2,1,5,1,1,0
2226,0,1,0,0,3,0,1
1488,0,1,0,0,3,0,1
1419,0,3,1,1,0,1,0
3409,1,2,1,0,1,1,0
2513,0,1,1,0,4,0,1
4708,0,1,0,0,1,1,0
638,0,1,0,0,11,0,1
3339,0,1,1,1,5,1,0
921,0,2,2,0,0,0,1
4927,0,1,2,0,0,1,0
3876,0,1,1,0,5,0,1
4706,0,1,0,0,1,1,0
3461,1,1,2,1,0,1,0
551,0,2,1,0,5,1,0
1625,0,1,2,0,3,0,1
3069,0,2,3,0,0,0,1
6028,0,1,2,0,7,0,1
1020,0,1,0,1,1,0,1
3073,0,1,1,0,0,1,0
3828,0,0,1,0,0,0,1
133,1,0,0,0,1,0,1
2084,0,2,2,0,0,0,1
827,0,1,0,1,0,1,0
5531,0,1,0,0,3,0,1
777,0,1,1,0,8,0,1
4665,0,1,0,0,1,1,0
622,0,1,0,0,0,1,0
5078,0,1,1,0,0,1,0
227,0,1,1,0,0,1,0
1030,0,2,0,1,1,1,0
6002,0,1,0,0,1,1,0
5281,0,1,0,0,0,1,0
4060,1,2,1,1,0,1,0
1922,0,1,0,0,2,0,1
998,0,1,0,0,2,0,1
2006,0,1,0,0,1,1,0
4370,0,1,0,0,2,0,1
6411,0,2,3,0,5,1,0
6623,0,1,0,0,5,0,1
3945,1,1,1,0,6,0,1
6171,0,1,0,0,15,0,1
1832,0,1,0,1,0,1,0
4771,0,2,1,0,2,1,0
5570,0,1,3,0,0,1,0
6654,0,1,1,0,0,1,0
6763,0,1,1,0,5,0,1
1715,0,1,2,1,12,0,1
4490,0,1,1,0,0,1,0
6684,0,1,2,4,0,1,0
3392,0,1,1,1,21,0,1
5020,0,1,0,5,1,1,0
919,0,1,0,0,0,1,0
5852,0,1,1,0,4,0,1
3493,0,2,0,0,5,0,1
3554,0,3,1,0,10,1,0
4595,0,1,0,0,1,1,0
4058,0,1,0,0,1,1,0
2821,0,1,0,0,5,0,1
6184,0,1,1,0,1,1,0
789,0,1,1,0,2,1,0
1012,0,1,0,0,0,1,0
2112,0,2,2,1,0,1,0
1441,1,1,2,0,0,1,0
1613,1,2,1,1,4,1,0
6870,1,1,1,0,2,1,0
3511,0,1,3,0,4,1,0
3100,0,2,1,0,4,0,1
4068,0,1,2,2,1,1,0
32,0,2,3,0,7,1,0
3152,1,1,1,0,5,0,1
5089,1,2,2,0,1,1,0
4899,0,1,0,0,27,1,0
663,0,1,0,0,2,0,1
2800,0,2,2,0,4,0,1
1333,0,1,1,0,0,1,0
5621,0,0,0,0,1,0,1
4445,0,2,1,1,0,1,0
6653,1,1,1,0,0,1,0
5769,0,1,1,1,2,1,0
1140,0,1,0,0,5,0,1
772,0,1,0,0,1,1,0
1427,0,1,2,0,2,0,1
5712,0,1,0,0,0,1,0
749,0,2,0,0,11,0,1
83,0,1,3,0,1,1,0
6270,0,1,3,0,0,1,0
2523,0,1,3,1,2,1,0
3507,1,1,1,0,1,1,0
5459,0,2,1,0,4,0,1
4486,0,2,2,0,0,0,1
2712,0,1,0,0,4,0,1
478,0,2,2,0,20,0,1
657,0,1,0,0,5,0,1
4227,0,1,0,0,2,0,1
4156,1,1,0,0,3,0,1
6159,1,2,1,0,0,1,0
748,0,1,1,0,0,1,0
3534,0,1,0,0,5,0,1
3665,0,1,0,0,0,1,0
2352,0,1,1,0,14,0,1
5600,1,1,0,1,3,0,1
353,0,1,0,0,1,1,0
107,0,1,0,0,0,1,0
364,0,1,0,1,1,0,1
4992,0,1,1,5,11,1,0
5822,0,1,3,1,1,1,0
2673,0,1,0,0,5,0,1
4800,0,1,2,1,2,0,1
4909,1,1,0,0,2,1,0
6805,0,1,2,0,20,1,0
5017,0,2,1,0,8,0,1
6883,0,0,0,0,0,0,1
4760,0,2,2,0,1,1,0
3004,1,1,0,0,3,0,1
2027,0,1,1,0,8,0,1
4392,0,1,2,5,0,1,0
2900,0,3,1,5,0,1,0
6254,0,2,1,0,8,0,1
5274,1,1,1,0,1,1,0
4734,1,0,3,0,0,0,1
1261,0,1,0,0,0,1,0
2327,0,3,0,1,30,0,1
2922,0,2,0,0,8,0,1
4930,0,1,0,0,2,0,1
3308,0,3,1,1,1,1,0
1810,0,1,0,1,10,1,0
3746,0,2,1,0,6,1,0
671,0,1,0,0,6,0,1
4172,0,1,0,0,0,1,0
187,0,1,3,0,2,1,0
5130,0,1,1,0,2,1,0
3059,0,1,0,0,1,1,0
5144,0,1,2,0,3,0,1
3811,1,1,0,0,1,1,0
5755,0,1,2,0,0,1,0
3544,0,1,1,1,3,1,0
6448,0,1,2,0,0,1,0
6533,0,2,1,0,3,0,1
3803,0,2,0,0,11,0,1
3612,0,3,0,0,7,0,1
4359,0,2,0,0,4,0,1
468,0,2,3,5,5,1,0
5087,0,2,0,0,1,1,0
1649,0,1,1,0,1,1,0
3639,0,1,1,0,0,1,0
2133,0,2,0,4,0,0,1
5048,0,1,1,0,2,1,0
2611,0,2,0,1,0,1,0
6425,1,1,2,0,0,1,0
1129,0,1,3,0,1,1,0
5970,0,1,1,1,3,1,0
2864,0,1,1,0,0,1,0
437,0,2,1,1,6,1,0
6284,1,2,0,2,2,1,0
4175,1,1,1,0,0,1,0
4460,0,1,0,0,3,0,1
1848,0,1,0,0,1,1,0
5815,1,0,1,0,1,0,1
2382,0,1,0,0,1,1,0
1417,0,1,3,1,6,0,1
1563,0,2,1,5,3,1,0
5759,0,1,0,1,2,1,0
4857,0,1,0,0,0,1,0
1542,0,2,2,0,4,0,1
3351,0,1,0,0,0,1,0
4088,1,1,0,0,5,0,1
6613,1,1,1,1,1,0,1
1646,0,1,0,0,27,1,0
630,0,1,0,0,1,1,0
5713,0,1,0,0,1,1,0
6287,0,1,1,1,0,1,0
2416,0,1,0,1,5,0,1
3577,0,1,0,0,1,1,0
4046,0,1,3,0,0,1,0
216,0,1,0,0,2,0,1
5468,1,2,1,0,0,1,0
2527,1,1,0,0,2,1,0
2132,0,1,3,0,0,1,0
460,0,1,2,0,4,1,0
2873,0,2,3,0,10,1,0
1521,0,1,3,0,3,0,1
679,0,1,0,0,0,1,0
3935,0,1,1,0,5,0,1
35,0,1,1,4,1,1,0
5501,1,1,1,0,3,1,0
1,0,1,0,0,0,1,0
2399,0,1,0,0,1,1,0
4161,1,1,1,0,4,0,1
4716,0,1,1,0,0,1,0
2719,0,2,0,0,5,0,1
2014,0,1,0,0,0,1,0
1426,0,1,0,0,7,0,1
1120,0,1,0,0,0,1,0
3349,0,1,0,0,1,1,0
6050,0,1,1,0,1,1,0
6129,0,2,3,1,2,1,0
6428,0,1,0,1,2,1,0
1420,0,1,0,0,2,0,1
3465,1,1,0,0,2,1,0
2179,0,1,1,0,1,1,0
2206,0,1,0,0,7,0,1
396,0,2,0,0,11,0,1
6887,1,1,0,0,3,0,1
5701,0,2,1,0,1,1,0
6118,0,1,0,0,11,0,1
1959,0,2,1,5,2,1,0
4411,0,1,1,0,0,1,0
990,0,2,0,0,0,1,0
2360,0,1,0,0,1,1,0
4098,0,2,0,0,0,1,0
2287,0,1,0,0,1,1,0
3272,0,1,0,0,1,1,0
5129,0,2,1,1,2,1,0
2290,0,0,0,0,0,0,1
345,0,2,0,0,3,0,1
6123,1,1,0,0,0,1,0
5420,0,2,0,0,5,0,1
5955,0,1,0,0,2,0,1
2440,1,2,1,0,0,1,0
3720,0,1,0,0,0,1,0
6197,0,2,0,0,21,1,0
3375,0,2,1,0,3,0,1
2743,0,1,0,1,3,1,0
4935,0,1,1,0,1,1,0
3300,0,1,0,0,0,1,0
3822,0,1,1,0,0,1,0
4410,1,1,0,0,9,0,1
430,1,2,0,0,2,1,0
5743,0,2,0,0,9,0,1
6875,1,0,0,0,0,1,0
3583,1,2,1,0,1,1,0
4241,1,2,0,1,21,1,0
1015,0,1,0,0,2,0,1
1128,1,1,1,0,2,1,0
2102,0,1,0,4,0,1,0
3916,0,2,0,2,0,0,1
6162,0,2,1,0,2,1,0
3604,0,1,0,0,4,0,1
632,0,3,0,0,2,1,0
577,0,1,2,0,1,1,0
2925,0,1,0,4,5,1,0
1080,0,2,1,0,1,1,0
1917,0,1,1,1,0,1,0
6835,0,2,0,0,5,0,1
785,1,1,3,1,0,1,0
2762,0,2,0,0,1,1,0
3584,0,1,0,5,21,0,1
4248,0,1,0,0,0,1,0
1682,0,1,0,0,1,1,0
93,1,1,1,1,0,1,0
5178,0,1,1,0,5,0,1
4996,0,1,1,0,13,0,1
6251,0,1,0,0,1,1,0
859,0,1,0,1,3,1,0
279,0,1,2,1,3,1,0
3678,0,1,0,0,0,1,0
6547,0,1,1,0,1,1,0
4577,0,1,0,0,2,0,1
2437,0,2,0,0,0,1,0
4981,1,3,1,1,1,1,0
861,0,2,2,1,0,1,0
5725,0,1,0,1,12,1,0
2056,0,1,3,1,4,1,0
3625,0,1,3,0,6,0,1
3701,1,1,0,0,3,0,1
4870,0,1,1,0,1,1,0
4463,0,1,1,0,1,1,0
2388,0,2,0,6,0,1,0
3725,0,1,1,0,1,1,0
6258,0,0,1,0,0,0,1
1043,0,1,0,1,18,0,1
3105,0,1,1,0,0,1,0
4941,0,1,0,0,6,0,1
602,0,1,1,0,5,0,1
5341,1,2,1,0,7,1,0
1338,0,1,0,0,0,1,0
1853,1,1,0,0,6,0,1
6029,0,1,2,0,2,0,1
1308,0,1,1,5,10,1,0
2079,0,2,1,0,9,0,1
4484,0,1,0,0,14,0,1
5226,1,1,0,0,1,1,0
5630,0,1,0,0,6,0,1
3331,0,1,0,0,0,1,0
3693,0,1,1,0,8,0,1
2916,0,1,0,0,1,1,0
6739,0,1,2,0,0,1,0
464,0,1,2,0,2,0,1
725,0,1,3,0,1,1,0
1526,0,1,3,0,3,0,1
1964,0,1,0,0,7,0,1
395,1,1,0,0,1,1,0
2279,0,1,0,0,0,1,0
1823,0,1,1,0,1,1,0
2457,0,1,0,0,0,1,0
6809,1,2,2,2,1,1,0
5449,1,1,0,5,1,0,1
6224,0,2,0,2,1,1,0
773,0,1,2,0,11,0,1
3816,0,1,1,5,7,1,0
1153,0,1,0,4,5,1,0
201,0,2,1,5,7,1,0
2070,1,1,1,0,2,1,0
1986,0,1,1,0,2,1,0
3644,0,1,1,0,3,0,1
5287,0,1,1,1,6,0,1
6700,1,1,2,0,2,0,1
6602,1,2,0,0,8,1,0
2346,0,2,3,0,0,0,1
4274,0,1,1,0,0,1,0
5898,0,1,0,0,2,0,1
3277,0,1,0,2,8,0,1
5968,0,1,0,0,1,1,0
1565,0,2,2,0,0,0,1
4732,0,1,0,0,0,1,0
2474,0,1,0,0,1,1,0
272,0,1,1,0,3,0,1
6214,1,2,1,5,0,1,0
5812,0,1,1,1,5,1,0
3866,0,1,1,5,5,1,0
2849,0,1,1,0,3,0,1
2861,1,1,0,0,0,1,0
2950,0,1,0,0,1,1,0
4645,0,1,2,0,2,0,1
1365,0,2,1,4,1,1,0
490,0,1,0,0,2,0,1
1635,0,1,0,0,10,0,1
1992,0,2,1,1,1,1,0
351,1,0,3,0,1,0,1
3075,0,1,2,1,6,0,1
5146,1,1,1,0,14,0,1
875,1,2,1,0,1,1,0
1100,1,2,1,1,1,1,0
4296,0,1,2,0,2,0,1
5723,0,1,0,0,5,0,1
4157,0,2,1,5,3,1,0
5408,1,1,0,0,2,1,0
2535,0,1,0,0,3,0,1
435,0,1,0,0,1,1,0
5827,1,2,1,0,3,1,0
456,0,1,1,0,3,0,1
1770,0,1,0,0,1,1,0
3220,0,1,0,0,1,1,0
5717,0,1,1,0,2,1,0
1664,1,2,2,0,9,0,1
1334,1,1,1,0,0,1,0
177,0,3,0,1,3,1,0
3051,1,1,0,0,3,0,1
5310,0,1,0,0,2,0,1
3301,0,1,0,0,5,0,1
4224,0,1,1,0,0,1,0
5896,0,1,1,5,2,1,0
2369,0,1,1,0,2,1,0
5685,0,2,1,0,1,1,0
3229,0,1,1,0,9,0,1
2456,0,1,1,0,4,0,1
1221,0,0,0,0,1,0,1
6848,0,3,0,5,4,1,0
5905,0,1,2,0,2,0,1
3872,0,1,1,0,2,1,0
739,0,1,3,1,1,1,0
228,0,1,1,0,0,1,0
1977,0,2,1,0,4,0,1
3379,0,1,0,0,9,0,1
5476,0,1,2,1,9,0,1
370,0,1,0,0,2,0,1
2365,1,1,0,0,14,0,1
1932,1,2,0,0,4,1,0
4044,0,1,0,0,12,0,1
949,0,1,0,1,5,0,1
1717,0,3,1,0,6,1,0
5419,0,1,1,0,0,1,0
138,1,1,0,0,0,1,0
251,0,1,0,0,4,0,1
1090,1,1,0,0,14,0,1
